fips2010,fmr0_17,fmr1_17,fmr2_17,fmr3_17,fmr4_17,fmr_0_22,fmr_1_22,fmr_2_22,fmr_3_22,fmr_4_22,metro_code,metro
4800399999,754,759,1009,1262,1599,798,902,1079,1398,1625,NCNTY48003N48003,0
4800599999,660,693,799,1059,1123,737,741,881,1101,1195,NCNTY48005N48005,0
4800799999,622,722,833,1213,1383,730,844,986,1401,1440,NCNTY48007N48007,0
4800999999,483,601,761,1063,1341,641,707,878,1197,1362,METRO48660M48660,1
4801199999,525,632,828,1088,1306,621,713,908,1230,1421,METRO11100M11100,1
4801399999,510,594,789,1033,1168,640,801,913,1129,1505,METRO41700N48013,1
4801599999,630,663,877,1112,1545,606,778,912,1258,1561,METRO26420N48015,1
4801799999,518,538,681,991,1079,560,600,757,996,1105,NCNTY48017N48017,0
4801999999,623,768,964,1273,1529,815,961,1165,1500,1849,METRO41700M41700,1
4802199999,799,968,1195,1619,1948,1092,1236,1451,1867,2194,METRO12420M12420,1
4802399999,509,512,681,852,1079,560,650,757,1075,1105,NCNTY48023N48023,0
4802599999,650,655,828,1205,1292,715,735,967,1340,1529,NCNTY48025N48025,0
4802799999,590,594,789,1117,1390,637,641,815,1158,1395,METRO28660M28660,1
4802999999,623,768,964,1273,1529,815,961,1165,1500,1849,METRO41700M41700,1
4803199999,657,661,879,1213,1549,719,770,972,1202,1344,NCNTY48031N48031,0
4803399999,563,584,739,975,1171,608,652,822,1084,1200,NCNTY48033N48033,0
4803599999,536,541,704,881,970,574,590,776,1007,1052,NCNTY48035N48035,0
4803799999,502,573,720,920,1012,669,670,838,1046,1344,METRO45500M45500,1
4803999999,762,824,974,1283,1716,783,1035,1179,1543,2018,METRO26420MM1145,1
4804199999,624,699,845,1230,1489,759,841,975,1385,1582,METRO17780M17780,1
4804399999,581,585,778,973,1233,644,698,871,1081,1271,NCNTY48043N48043,0
4804599999,518,538,681,861,1079,560,600,757,1075,1105,NCNTY48045N48045,0
4804799999,518,538,681,888,1079,560,600,757,937,1105,NCNTY48047N48047,0
4804999999,469,594,714,981,1125,567,648,853,1138,1259,NCNTY48049N48049,0
4805199999,624,699,845,1230,1489,759,841,975,1385,1582,METRO17780M17780,1
4805399999,654,685,810,1179,1427,696,779,908,1264,1269,NCNTY48053N48053,0
4805599999,799,968,1195,1619,1948,1092,1236,1451,1867,2194,METRO12420M12420,1
4805799999,649,712,852,1066,1351,548,724,825,1154,1205,NCNTY48057N48057,0
4805999999,566,617,820,1026,1366,637,674,870,1186,1476,METRO10180M10180,1
4806199999,529,536,695,917,1080,598,631,803,1043,1206,METRO15180M15180,1
4806399999,495,593,684,996,1084,560,611,757,1075,1244,NCNTY48063N48063,0
