,state_county_code,census_region,metro,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,ELI_2,median,I50_2,I80_2,ave_util_allowed,hh_income,months_from_movein,months_waiting,pct_utility_allow,PrincipalComponent1,PrincipalComponent2,PrincipalComponent3,Class,state_name,county_name
2615,35037,8,0,51,118,59,118,165,2070,9200,3450,5550,191,12558,109,21,99,-1.832227258515526,-9.69506487529169,-2.0550618429309475,2,Montana,Daniels County
2616,35039,8,0,75,59,59,51,-89,2070,9300,3450,5550,-15,-37,34,6,-5,-3.0068341477826785,0.3400796896865983,-1.3591051716499467,2,Montana,Dawson County
2617,35043,8,1,109,105,118,137,158,2070,15200,5400,8750,-6,907,23,-14,-1,-1.0761353690029336,0.06427935513422528,-1.2442463178063998,2,Montana,Deer Lodge County
2618,35045,8,1,87,93,70,157,242,2070,-4600,2000,3200,-7,890,6,-2,-8,-2.778572881760629,0.2100185844825266,-2.935301094007866,2,Montana,Fallon County
2619,35047,8,0,177,106,56,105,-95,2070,4000,3450,5550,-36,676,18,7,-4,-2.762196843034866,0.6118956574068746,-1.9490406479379123,2,Montana,Fergus County
2620,35049,8,1,36,97,65,27,252,3160,18400,7350,11800,9,1375,12,0,1,-0.7591869685742934,-0.3540544902975882,-0.05346813043961235,2,Montana,Flathead County
2621,35051,8,0,33,50,59,69,-90,2070,2700,3450,5550,10,819,-3,1,-2,-3.456354050743904,-0.19916149858155033,-1.435474778603116,2,Montana,Gallatin County
2622,35053,8,0,44,-26,59,129,172,2070,13000,3450,5550,13,-1077,3,10,5,-2.7727157458317477,-0.03152316623129234,-1.3137699931232563,2,Montana,Garfield County
2623,35055,8,0,138,1,22,15,312,2070,9500,3450,5550,-24,678,27,11,0,-2.62934780392782,0.24444629664067613,-1.7284584630911999,2,Montana,Glacier County
2624,35057,8,1,109,105,118,137,158,2070,15200,5400,8750,-15,-731,23,14,-8,-1.0932000773412756,0.6879424529744823,-1.2863790083221156,2,Montana,Golden Valley County
2625,35061,8,1,109,105,118,137,158,2070,15200,5400,8750,39,1098,6,-4,2,-1.0810644759311576,-0.8021672697797556,-1.1357848723922908,2,Montana,Granite County
2626,36001,2,1,200,174,201,233,250,5450,22900,9150,14650,4,254,7,-1,-5,1.822580836002328,0.30295152195308306,0.8016933164070401,3,Montana,Hill County
